"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
191,"ESW1-68",402.7,31.8,5.17,0.19,5.24,1.1,1.98,5.05,17626,2016-09-21 22:51:00,2016-09-23 00:45:00,2016-09-21 22:51:00,2016-09-23 00:45:00,1.29,17626,0
192,"ESW1-69",30.8,11.9,0.06,0.02,0.78,0.12,0.22,0.76,3083,2016-10-26 08:59:00,2016-10-27 15:45:00,2016-10-26 08:59:00,2016-10-27 14:00:00,0.08,3083,0
193,"ESW1-70",5.4,2.3,0,0,0.15,0.03,0.05,0.15,1242,2016-11-28 01:39:00,2016-11-28 12:30:00,2016-11-28 01:39:00,2016-11-28 12:30:00,0.13,1242,0
194,"ESW1-71",70.4,37.2,1.24,0.11,2.59,0.51,0.85,2.48,13273,2016-11-28 15:00:00,2016-11-30 00:00:00,2016-11-28 15:00:00,2016-11-30 00:00:00,0.61,13273,0
197,"ESW1-72",1.1,3.1,0.11,0.02,0.34,0.06,0.08,0.32,4568,2016-12-26 01:30:00,2016-12-27 00:34:00,2016-12-26 01:30:00,2016-12-27 00:34:00,0.15,4568,0
200,"ESW1-73b",3.6,10,0.12,1.6,3.14,0.36,0.44,1.54,9551,2017-01-19 19:00:00,2017-01-21 00:15:00,2017-01-19 19:00:00,2017-01-21 00:15:00,0.24,9551,1
201,"ESW1-73c",7.7,20.1,0.52,4.59,8.52,1.14,1.34,3.93,20641,2017-01-21 00:15:00,2017-01-22 08:43:00,2017-01-21 00:15:00,2017-01-22 08:43:00,0.37,20641,1
202,"ESW1-73d",3.3,10.7,0.13,2.13,4.06,0.63,0.73,1.93,10729,2017-01-22 08:43:00,2017-01-23 08:10:00,2017-01-22 08:43:00,2017-01-23 08:10:00,0.37,10729,1
203,"ESW1-73e",3.4,13.3,0.09,1.65,3.88,0.65,0.75,2.22,13521,2017-01-23 08:10:00,2017-01-25 01:52:00,2017-01-23 08:10:00,2017-01-25 05:45:00,0.28,13521,1
206,"ESW1-74",1.9,3.5,0.01,0.5,0.98,0.16,0.19,0.48,4274,2017-02-14 11:15:00,2017-02-14 20:01:00,2017-02-14 11:15:00,2017-02-14 20:01:00,0.39,4274,1
207,"ESW1-75",16,2.8,0.03,0.69,1.4,0.23,0.31,0.7,8285,2017-02-17 11:30:00,2017-02-17 21:45:00,2017-02-17 11:30:00,2017-02-17 21:45:00,0.56,8285,1
208,"ESW1-76",20,6.3,0.03,0.84,1.76,0.29,0.38,0.92,10340,2017-02-18 07:45:00,2017-02-18 21:18:00,2017-02-18 07:45:00,2017-02-18 21:18:00,0.53,10340,1
209,"ESW1-77a",5.1,10.1,0.02,0.32,1.13,0.07,0.15,0.81,5876,2017-02-19 08:30:00,2017-02-20 17:49:00,2017-02-19 08:30:00,2017-02-20 17:49:00,0.17,5876,1
210,"ESW1-77b",7.6,25.1,0.03,0.42,2.03,0.14,0.27,1.62,8643,2017-02-20 17:49:00,2017-02-21 21:36:00,2017-02-20 17:49:00,2017-02-21 21:36:00,0.21,8643,1
213,"ESW1-78a",18.4,37,0.18,0.36,2.29,0.25,0.4,1.93,14063,2017-02-28 00:30:00,2017-02-28 22:17:00,2017-02-28 00:30:00,2017-02-28 22:17:00,0.62,14063,0
214,"ESW1-78b",0.6,13.8,0.13,0.17,0.97,0.12,0.17,0.79,5049,2017-02-28 22:17:00,2017-03-01 07:18:00,2017-02-28 22:17:00,2017-03-01 07:18:00,0.32,5049,0
215,"ESW1-79a",4.9,40.7,0.25,0.54,2.76,0.42,0.56,2.22,19766,2017-03-05 14:00:00,2017-03-07 00:09:00,2017-03-05 14:00:00,2017-03-07 00:09:00,0.55,19766,0
216,"ESW1-79b",79.1,10.3,0.02,0.15,1.17,0.12,0.26,1.03,5891,2017-03-07 00:09:00,2017-03-07 12:45:00,2017-03-07 00:09:00,2017-03-07 12:45:00,0.67,5891,0
218,"ESW1-80a",27.2,16.6,0.3,0.05,0.87,0.1,0.18,0.81,4779,2017-03-24 18:15:00,2017-03-25 15:15:00,2017-03-24 18:15:00,2017-03-25 15:15:00,0.21,4779,0
219,"ESW1-80b",0.8,5.1,0.15,0.01,0.24,0.03,0.04,0.23,1600,2017-03-25 15:15:00,2017-03-26 06:41:00,2017-03-25 15:15:00,2017-03-26 06:41:00,0.07,1600,0
220,"ESW1-80c",142.5,26.3,1.27,0.22,2.51,0.25,0.52,2.29,11837,2017-03-26 06:41:00,2017-03-27 08:15:00,2017-03-26 06:41:00,2017-03-27 14:15:00,0.62,11837,0
221,"ESW1-81",10.8,12.5,0.02,0.02,0.77,0.09,0.14,0.75,5219,2017-03-30 05:00:00,2017-03-31 03:15:00,2017-03-30 05:00:00,2017-03-31 03:15:00,0.25,5219,0
222,"ESW1-82",31.9,14.6,0.02,0.03,1.04,0.11,0.2,1.01,6809,2017-04-03 21:30:00,2017-04-04 14:45:00,2017-04-03 21:30:00,2017-04-04 14:45:00,0.26,6809,0
223,"ESW1-83",330.4,5.4,0.03,0.11,2.07,0.1,0.62,1.96,4955,2017-04-15 03:11:00,2017-04-15 11:00:00,2017-04-15 03:11:00,2017-04-15 11:00:00,1.15,4955,0
