"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
154,"ESW2-55",19720.1,225.5,25.69,8.67,91.86,6.42,44.96,117.55,83.18,102894,2016-03-15 16:45:00,2016-03-15 16:45:00,2016-03-15 16:45:00,2016-03-17 11:45:00,8.86,102894,0
155,"ESW2-56a",661.1,60.7,8.08,1.67,7.1,1.32,1.41,15.18,5.43,30084,2016-03-26 12:30:00,2016-03-26 12:30:00,2016-03-26 12:30:00,2016-03-27 06:48:00,1.47,30084,0
156,"ESW2-56b",230.1,64.6,9.33,1.83,6.46,1.41,1.53,15.79,4.63,20477,2016-03-27 06:48:00,2016-03-27 06:48:00,2016-03-27 06:48:00,2016-03-28 13:00:00,1.26,20477,0
157,"ESW2-57a",6299.4,89.5,11.15,1.96,27.28,2.44,12.06,38.43,25.32,48280,2016-03-31 00:17:00,2016-03-31 00:17:00,2016-03-31 00:17:00,2016-03-31 11:48:00,4.85,48280,0
158,"ESW2-57b",1586.8,55.9,7.5,1.33,9.24,1.42,3.92,16.74,7.91,27302,2016-03-31 11:48:00,2016-03-31 11:48:00,2016-03-31 11:48:00,2016-04-01 06:45:00,2.48,27302,0
165,"ESW2-58",137.2,0.3,0.82,0.08,0.72,0.02,0.21,1.54,0.63,674,2016-06-10 21:00:00,2016-06-10 21:00:00,2016-06-10 21:00:00,2016-06-10 23:00:00,0.41,674,0
167,"ESW2-59",9289.6,25.8,20.34,0.84,33.53,0.59,13.19,53.87,32.69,29350,2016-06-15 18:54:00,2016-06-15 18:54:00,2016-06-15 18:54:00,2016-06-16 07:45:00,14.12,29350,0
168,"ESW2-60",195.3,5.3,1.21,0.05,1.1,0.14,0.4,2.3,1.05,5365,2016-06-26 03:57:00,2016-06-26 03:57:00,2016-06-26 03:57:00,2016-06-26 10:00:00,1.41,5365,0
169,"ESW2-61",87.3,6.4,0.9,0.05,0.95,0.13,0.29,1.85,0.9,4251,2016-06-30 16:20:00,2016-06-30 16:20:00,2016-06-30 16:20:00,2016-07-01 00:30:00,0.72,4251,0
171,"ESW2-63",12.3,4.8,0.15,0.01,0.4,0.11,0.15,0.55,0.39,2341,2016-09-06 19:08:00,2016-09-06 19:08:00,2016-09-06 19:08:00,2016-09-07 15:15:00,0.25,2341,0
172,"ESW2-64",19,7.1,0.01,0.01,0.65,0.17,0.23,0.66,0.64,4415,2016-09-10 04:49:00,2016-09-10 04:49:00,2016-09-10 04:49:00,2016-09-10 20:45:00,0.46,4415,0
179,"ESW2-66a",1179,37.6,5,0.09,9.66,1.44,4.35,14.66,9.57,34845,2016-09-21 22:32:00,2016-09-21 22:32:00,2016-09-21 22:32:00,2016-09-22 03:30:00,4.72,34845,0
181,"ESW2-66c",36.7,17.3,2.15,0.02,1.51,0.35,0.48,3.67,1.49,7828,2016-09-22 07:27:00,2016-09-22 07:27:00,2016-09-22 07:27:00,2016-09-23 06:45:00,0.61,7828,0
182,"ESW2-67",177,7.7,0.01,0.02,1.36,0.23,0.61,1.38,1.34,3905,2016-09-25 16:40:00,2016-09-25 16:40:00,2016-09-25 16:40:00,2016-09-26 01:30:00,1.18,3905,0
184,"ESW2-68",1237.5,74.7,5.01,0.14,8.23,0.74,3.16,13.24,8.09,22297,2016-10-26 06:52:00,2016-10-26 06:52:00,2016-10-26 06:52:00,2016-10-27 06:45:00,0.61,22297,0
186,"ESW2-69",28.9,29.1,0.78,1.27,4.88,0.32,0.72,5.65,3.6,1977,2016-11-28 00:57:00,2016-11-28 00:57:00,2016-11-28 00:57:00,2016-11-28 14:12:00,0.1,1977,0
187,"ESW2-70",514.9,330.4,31.83,13.5,46.42,5.35,9.1,78.25,32.92,32472,2016-11-28 14:12:00,2016-11-28 14:12:00,2016-11-28 14:12:00,2016-11-30 02:55:00,1.29,32472,0
193,"ESW2-71b",8.5,2.2,0.43,0.19,0.67,0.25,0.28,1.1,0.49,6830,2017-01-18 09:14:00,2017-01-18 09:14:00,2017-01-18 09:14:00,2017-01-19 09:45:00,0.22,6830,1
196,"ESW2-71e",55.5,23.5,2.64,0.97,3.94,0.88,1.08,6.58,2.98,14584,2017-01-23 08:41:00,2017-01-23 08:41:00,2017-01-23 08:41:00,2017-01-24 07:00:00,0.68,14584,1
197,"ESW2-71f",54.5,28.8,2.26,1.32,4.8,0.98,1.17,7.07,3.48,13426,2017-01-24 07:00:00,2017-01-24 07:00:00,2017-01-24 07:00:00,2017-01-25 06:00:00,0.62,13426,1
200,"ESW2-72",167.2,8,0.84,0.64,2.15,0.35,0.69,2.99,1.51,9017,2017-02-12 10:45:00,2017-02-12 10:45:00,2017-02-12 10:45:00,2017-02-12 16:53:00,0.77,9017,1
203,"ESW2-73",34.3,6.7,0.01,1.09,1.99,0.53,0.67,2.01,0.9,4612,2017-02-17 11:45:00,2017-02-17 11:45:00,2017-02-17 11:45:00,2017-02-17 20:00:00,0.37,4612,1
204,"ESW2-74",85.8,18,0.02,1.92,3.68,0.54,0.86,3.71,1.76,7903,2017-02-18 07:45:00,2017-02-18 07:45:00,2017-02-18 07:45:00,2017-02-18 20:45:00,0.44,7903,1
205,"ESW2-75",17.2,20.6,0.04,1.11,2.46,0.21,0.37,2.5,1.34,6706,2017-02-19 08:00:00,2017-02-19 08:00:00,2017-02-19 08:00:00,2017-02-19 23:45:00,0.27,6706,1
206,"ESW2-76a",3.8,10.8,0.02,0.33,1,0.07,0.14,1.02,0.67,3043,2017-02-20 06:30:00,2017-02-20 06:30:00,2017-02-20 06:30:00,2017-02-20 18:04:00,0.17,3043,1
207,"ESW2-76b",402.7,134,0.1,5.99,15.66,1.18,2.77,15.75,9.67,31467,2017-02-20 18:04:00,2017-02-20 18:04:00,2017-02-20 18:04:00,2017-02-21 23:55:00,0.9,31467,1
210,"ESW2-77a",448.8,163.9,3.7,7.92,16.26,2.02,3.38,19.96,8.34,42288,2017-02-28 03:15:00,2017-02-28 03:15:00,2017-02-28 03:15:00,2017-02-28 22:07:00,1.71,42288,0
211,"ESW2-77b",225.2,78.6,2.35,4.57,9.07,1.1,1.75,11.42,4.5,19824,2017-02-28 22:07:00,2017-02-28 22:07:00,2017-02-28 22:07:00,2017-03-01 10:00:00,1.09,19824,0
212,"ESW2-78a",556.8,210.2,5.82,12.67,27.13,3.42,5.11,32.95,14.46,66554,2017-03-05 12:45:00,2017-03-05 12:45:00,2017-03-05 12:45:00,2017-03-07 00:33:00,1.51,66554,0
213,"ESW2-78b",3223.8,77.9,2.27,4.84,21.68,1.23,6.44,23.96,16.85,24290,2017-03-07 00:33:00,2017-03-07 00:33:00,2017-03-07 00:33:00,2017-03-07 17:15:00,2.76,24290,0
214,"ESW2-79a",169.2,46.2,4.14,1.22,5.53,0.27,0.81,9.67,4.31,10037,2017-03-24 16:01:00,2017-03-24 16:01:00,2017-03-24 16:01:00,2017-03-25 15:23:00,0.34,10037,0
215,"ESW2-79b",41.6,46.2,3.9,2.01,4.47,0.28,0.5,8.37,2.46,8442,2017-03-25 15:23:00,2017-03-25 15:23:00,2017-03-25 15:23:00,2017-03-26 09:49:00,0.32,8442,0
216,"ESW2-79c",1636.2,164.1,14.31,7.2,22.31,1.12,4.18,36.61,15.11,35806,2017-03-26 09:49:00,2017-03-26 09:49:00,2017-03-26 09:49:00,2017-03-28 15:30:00,1.32,35806,0
